event_id,event_type,login,event_content,created_at
58114382,merged_pr,I-am-a-robot,合并了Pull Request（通过 API 合并）,2021-10-22T10:25:25+08:00
58114377,add_label,I-am-a-robot,"添加了      
        &nbsp;
        approved
      
标签",2021-10-22T10:25:23+08:00
58113398,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        can-review
      
标签",2021-10-22T10:18:58+08:00
58113394,add_label,I-am-a-robot,"添加了      
        &nbsp;
        lgtm
      
标签",2021-10-22T10:18:57+08:00
58066895,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-passed
      
标签",2021-10-21T17:03:58+08:00
58066857,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-passed
      
标签",2021-10-21T17:03:53+08:00
58066854,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-passed
      
标签",2021-10-21T17:03:50+08:00
58066848,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-21T17:03:50+08:00
58047552,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-21T15:33:34+08:00
58047523,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-21T15:33:31+08:00
57971794,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-20T22:37:46+08:00
57971793,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-20T22:37:45+08:00
57969073,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-20T21:27:54+08:00
57969070,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-20T21:27:50+08:00
57969017,force_push_code,liuyang_655,强制推送 了代码,2021-10-20T21:24:43+08:00
57968650,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-20T21:20:38+08:00
57968649,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-20T21:20:37+08:00
57968564,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-20T21:18:24+08:00
57968561,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-20T21:18:20+08:00
57968469,force_push_code,liuyang_655,强制推送 了代码,2021-10-20T21:16:46+08:00
57967467,add_label,I-am-a-robot,"添加了      
        &nbsp;
        ci-pipeline-failed
      
标签",2021-10-20T20:58:57+08:00
57967465,remove_label,I-am-a-robot,"移除了      
        &nbsp;
        ci-pipeline-running
      
标签",2021-10-20T20:58:57+08:00
