event_id,event_type,user_login,event_content,created_at
1,comment,test-bot,comment,2021-07-13T15:53:20+08:00
2,comment,fateld,comment,2021-10-20T09:33:58+08:00
6,comment,test-bot,comment,2021-09-07T19:43:44+08:00
8,comment,I-am-a-robot,comment,2021-09-26T11:59:52+08:00
9,comment,I-am-a-robot,comment,2021-09-26T11:59:58+08:00
10,comment,I-am-a-robot,comment,2021-09-26T12:00:01+08:00
11,comment,mindspore_ci,comment,2021-03-25T09:42:46+08:00
12,comment,test-bot,comment,2021-07-05T14:46:14+08:00
13,comment,test-bot,comment,2021-07-20T16:38:30+08:00
14,comment,linqingke,comment,2021-10-21T09:30:17+08:00
15,comment,fangwenyi,comment,2021-10-26T09:50:02+08:00
17,comment,wmzheng2020,comment,2021-10-26T14:37:34+08:00
19,comment,test-bot,comment,2021-07-20T16:39:15+08:00
20,comment,clement_li,comment,2021-09-07T20:38:59+08:00
27,comment,chen_tanjie,comment,2021-10-26T09:44:30+08:00
28,comment,fangwenyi,comment,2021-10-20T10:06:24+08:00
30,comment,fangwenyi,comment,2021-10-25T17:19:23+08:00
31,comment,I-am-a-robot,comment,2021-10-24T16:18:57+08:00
32,comment,winnuix,comment,2021-10-24T16:21:34+08:00
35,comment,zhunaipan,comment,2020-12-16T20:11:23+08:00
36,comment,M20211031,comment,2020-12-17T19:36:13+08:00
37,comment,zhunaipan,comment,2020-12-17T20:54:24+08:00
38,comment,M20211031,comment,2020-12-18T18:56:11+08:00
40,comment,zh_qh,comment,2021-04-19T10:07:47+08:00
41,comment,lianliguang,comment,2021-05-24T19:17:41+08:00
42,comment,irmo,comment,2021-09-02T14:59:38+08:00
46,comment,test-bot,comment,2021-06-16T10:16:41+08:00
47,comment,test-bot,comment,2021-07-05T14:39:13+08:00
48,comment,ms_yan,comment,2021-07-05T16:05:14+08:00
49,comment,ms_yan,comment,2021-09-04T15:43:30+08:00
50,comment,ms_yan,comment,2021-10-25T10:13:28+08:00
51,comment,iambowen1984,comment,2021-10-28T11:40:41+08:00
52,comment,zhunaipan,comment,2021-04-27T20:47:13+08:00
