user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue
Carry955,0,0,0,0,0
EJaven,0,104,0,0,1
Fazzie,0,6,0,0,0
HW_KK,0,6,1,0,0
Hanshize,0,2,0,0,0
HidyLi,11,38,10,7,7
HilbertDavid,0,0,1,0,0
HulkTang,2,2,0,0,2
JT0623,0,0,3,1,1
JeffDing890430,2,2,0,0,2
JohanOu,1,4,0,0,0
LiannaiWork,0,0,0,0,0
Lisenning,1,0,0,0,0
M20211031,0,4,1,0,0
MDS_ZHR,1,0,0,1,0
MYYEN,0,2,0,0,0
Maigee,0,0,0,0,0
Margaret_wangrui,0,38,8,0,0
Programmer-GYL,1,14,0,0,0
Shawny233,1,20,7,0,6
Somnus2020,0,2,1,0,0
Sun_New_Rain,1,2,0,0,0
Super_Wzb,0,0,0,0,0
VectorSL,0,16,6,0,0
WL960305,1,0,0,0,1
YamanAfadar,1,2,0,0,0
YeFeng_24,5,8,2,0,4
ZJUTER0126,0,8,0,0,0
ZhengBina,0,0,0,0,0
ZoRaX,0,2,0,0,0
abood_2a6f,1,0,0,0,0
abracadabra233,1,12,0,0,0
aflyhat,0,2,0,0,0
aishuaiyao,1,4,0,0,0
alashkari,1,0,0,0,1
anancds,0,2,2,0,0
andy_wangrui,2,86,53,3,0
anyrenwei,0,2,0,0,0
anzhengqi,0,44,13,0,0
ardcy,0,0,0,0,0
artlesbol,0,0,0,0,0
ascendzyj,1,0,0,0,0
askmiao,0,2,1,0,0
bairongz,0,0,1,0,0
bazahe,0,2,0,0,0
bcc2974874275,1,0,0,0,0
bingyaweng,2,2,1,0,2
blycf,1,2,0,0,0
bubb1e,0,0,0,0,0
c_34,2,116,14,2,7
caicai-0505,4,0,0,0,0
caojian05,0,12,1,0,0
caoruyue1,10,76,2,4,5
cathwong,2,2,0,0,2
ccfendouing,0,2,0,0,0
cdemo123,0,0,0,0,0
changzherui,0,24,10,0,0
chaoshijiecy,0,0,0,0,0
chauneahhin,0,6,0,0,0
chen-jun0211,0,0,0,0,0
