user_list,event_labled,event_referenced,event_mentioned,event_closed,event_event_assignee,event_event_assigner,event_review_requester,event_requested_reviewer
01-vyom,0,0,1,1,0,0,0,0
05hazza06,1,0,1,1,0,0,0,0
07rafix,1,0,0,1,0,0,0,0
1013801464,1,0,2,1,0,0,0,0
10ne1,0,0,0,0,0,0,0,0
1148330040,2,0,3,2,0,0,0,0
1148569762,1,0,1,0,0,0,0,0
1165628028,1,0,3,0,0,0,0,0
12o13,0,0,1,1,0,0,0,0
13564545AWq,1,0,0,0,0,0,0,0
158703127,1,0,1,0,0,0,0,0
1619513467,1,0,1,0,0,0,0,0
18jeffreyma,1,0,0,0,0,0,0,0
1advait,1,0,1,0,0,0,0,0
259mit,0,0,1,0,0,0,0,0
25thengineer,1,0,1,1,0,0,0,0
2vin2vin,1,0,4,1,0,0,0,0
40015569,0,0,3,0,0,0,0,0
438-gm-24,1,0,1,0,0,0,0,0
6368696a6961,0,0,2,1,0,0,0,0
777ki,0,0,1,0,0,0,0,0
77blackbird,1,0,2,0,0,0,0,0
7AM7,0,0,2,0,0,0,0,0
8549,1,0,3,0,0,0,0,0
876arham,2,0,3,0,0,0,0,0
888yyh,1,0,1,0,0,0,0,0
8bitmp3,0,0,11,0,0,0,0,1
9607835,1,0,1,1,0,0,0,0
9harshit,0,0,0,1,0,0,0,0
A1B2,2,0,1,0,0,0,0,0
ABHAY-05,1,0,1,0,0,0,0,0
AHSANFAROOQ1999,0,0,1,0,0,0,0,0
AI-Friend,1,0,3,0,0,0,0,0
AI-ML-Enthusiast,0,0,1,0,0,0,0,0
AIspeakeryhl,1,0,0,0,0,0,0,0
ALIANS-PRODUCTIONS,1,0,7,0,0,0,0,0
ALL,0,0,1,0,0,0,0,0
ANTASGUPTA,1,0,2,0,0,0,0,0
AR-fan,1,0,1,3,0,0,0,0
ARKAD97,1,0,0,0,0,0,0,0
Aakash-here,0,0,0,0,0,0,0,0
Abdelghafar-Refat,1,0,1,0,0,0,0,0
AbdullahMu,0,0,0,1,0,0,0,0
Abduttayyeb,0,0,1,0,0,0,0,0
AbeG13,1,0,1,1,0,0,0,0
AbhisekOmkar,2,0,2,2,0,0,0,0
AdamByerly,0,0,0,1,0,0,0,0
AdamHillier,3,0,2,0,0,0,0,0
AdamMiltonBarker,2,0,2,2,0,0,0,0
Adeesh2411,1,0,2,1,0,0,0,0
Adgoswa,1,0,1,0,0,0,0,0
Adhithya-tech,2,0,2,0,0,0,0,0
AdityaKane2001,4,5,45,2,2,0,4,0
AdityaNikhil,2,0,6,0,0,0,0,0
AhmadObeid,0,0,2,1,0,0,0,0
AiaHaruv,3,0,2,1,0,0,0,0
Aiman-Shivani,1,0,0,0,0,0,0,0
Akshaysehgal2005,0,0,3,0,0,0,0,0
AldrichCabrera,1,0,3,0,0,0,0,0
AlexanderMelde,1,0,0,0,0,0,0,0
Alexanderstaehle,1,0,2,0,0,0,0,0
AlexandreBourrieau,1,0,2,1,0,0,0,0
AlicanAKCA,1,0,0,1,0,0,0,0
Alok-Ranjan23,3,0,3,3,0,0,0,0
Amzo,1,0,4,0,0,0,0,0
AnastGerus,0,0,2,1,0,0,0,0
AndrewTheReese,1,0,1,0,0,0,0,0
Angry-Coder,0,0,1,0,0,0,0,0
Ankita-020696,1,0,0,0,0,0,0,0
AnnBkrv,1,0,1,0,0,0,0,0
AnranXu,1,0,0,1,0,0,0,0
Anthonyive,1,0,4,0,0,0,0,0
Antymon,0,0,2,0,0,0,0,0
Antzyx,1,0,2,1,0,0,0,0
Anuj040,1,0,3,0,0,0,0,0
AnushangaWimalasena,1,0,1,0,0,0,0,0
AraibKarim,1,0,1,1,0,0,0,0
Arghya999,0,0,2,1,0,0,0,0
ArimaValanImmanuel,1,0,2,0,0,0,0,0
AritroSaha10,1,0,1,0,0,0,0,0
ArmageddonKnight,0,3,0,0,0,0,0,0
Arman-IMRSV,1,0,1,0,0,0,0,0
ArniusOm,1,0,1,1,0,0,0,0
ArunaKote,3,0,8,1,0,0,0,0
AsherXian903,1,0,1,0,0,0,0,0
Ashitha97,1,0,1,0,0,0,0,0
Astrohaker,0,0,1,0,0,0,0,0
Atef-Magdy,0,0,0,2,0,0,0,0
Atharex,1,0,1,1,0,0,0,0
Ather23,0,2,1,0,0,0,1,0
August0424,1,0,0,0,0,0,0,0
AutoViML,0,0,2,0,0,0,0,0
AyanmoI,1,0,6,3,0,0,0,0
Ayesha-Julekha,1,0,2,1,0,0,0,0
