user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue,Score
Carry955,0,0,0,0,0,0.0
EJaven,0,104,0,0,1,14.028881484086632
Fazzie,0,6,0,0,0,0.7961260935881266
HW_KK,0,6,1,0,0,0.98893631052685
Hanshize,0,2,0,0,0,0.26537536452937555
HidyLi,11,38,10,7,7,12.56325160983384
HilbertDavid,0,0,1,0,0,0.1928102169387235
HulkTang,2,2,0,0,2,1.1598518260537114
JT0623,0,0,3,1,1,1.0350570494096742
JeffDing890430,2,2,0,0,2,1.1598518260537114
JohanOu,1,4,0,0,0,0.7486264312618358
LiannaiWork,0,0,0,0,0,0.0
Lisenning,1,0,0,0,0,0.2178757022030848
M20211031,0,4,1,0,0,0.7235609459974746
MDS_ZHR,1,0,0,1,0,0.44513957223750555
MYYEN,0,2,0,0,0,0.26537536452937555
Maigee,0,0,0,0,0,0.0
Margaret_wangrui,0,38,8,0,0,6.584613661567928
Programmer-GYL,1,14,0,0,0,2.075503253908714
Shawny233,1,20,7,0,6,5.597476037422406
Somnus2020,0,2,1,0,0,0.45818558146809907
Sun_New_Rain,1,2,0,0,0,0.4832510667324603
Super_Wzb,0,0,0,0,0,0.0
VectorSL,0,16,6,0,0,3.2798642178673445
WL960305,1,0,0,0,1,0.4472382307621679
YamanAfadar,1,2,0,0,0,0.4832510667324603
YeFeng_24,5,8,2,0,4,3.4539505172467044
ZJUTER0126,0,8,0,0,0,1.0615014581175022
ZhengBina,0,0,0,0,0,0.0
ZoRaX,0,2,0,0,0,0.26537536452937555
abood_2a6f,1,0,0,0,0,0.2178757022030848
abracadabra233,1,12,0,0,0,1.8101278893793384
aflyhat,0,2,0,0,0,0.26537536452937555
aishuaiyao,1,4,0,0,0,0.7486264312618358
alashkari,1,0,0,0,1,0.4472382307621679
anancds,0,2,2,0,0,0.6509957984068225
andy_wangrui,2,86,53,3,0,22.74762518702494
anyrenwei,0,2,0,0,0,0.26537536452937555
anzhengqi,0,44,13,0,0,8.344790839849676
ardcy,0,0,0,0,0,0.0
artlesbol,0,0,0,0,0,0.0
ascendzyj,1,0,0,0,0,0.2178757022030848
askmiao,0,2,1,0,0,0.45818558146809907
bairongz,0,0,1,0,0,0.1928102169387235
bazahe,0,2,0,0,0,0.26537536452937555
bcc2974874275,1,0,0,0,0,0.2178757022030848
bingyaweng,2,2,1,0,2,1.352662042992435
blycf,1,2,0,0,0,0.4832510667324603
bubb1e,0,0,0,0,0,0.0
c_34,2,116,14,2,7,20.586931024234538
caicai-0505,4,0,0,0,0,0.8715028088123392
caojian05,0,12,1,0,0,1.7850624041149772
caoruyue1,10,76,2,4,5,14.704509430957687
cathwong,2,2,0,0,2,1.1598518260537114
ccfendouing,0,2,0,0,0,0.26537536452937555
cdemo123,0,0,0,0,0,0.0
changzherui,0,24,10,0,0,5.1126065437397425
chaoshijiecy,0,0,0,0,0,0.0
chauneahhin,0,6,0,0,0,0.7961260935881266
chen-jun0211,0,0,0,0,0,0.0
chen_si_jie,18,20,0,19,9,12.957792572635023
chen_tanjie,13,40,6,9,14,14.553202950996912
chen_ying113,1,0,0,0,1,0.4472382307621679
chenfei52,3,52,10,3,2,10.622005420981697
cheng_xiaoli,2,184,34,48,13,45.29621094994563
chengxb7532,0,0,4,0,0,0.771240867754894
chenlei_autodiff,4,4,0,0,2,1.8609785949892568
chenmai1102,1,6,0,0,1,1.2433643243502945
chenping38,1,0,0,0,0,0.2178757022030848
chenweitao_295,0,6,2,0,0,1.1817465274655736
chenyang_Marvin,1,0,0,0,0,0.2178757022030848
chenyijie6,0,4,0,0,0,0.5307507290587511
chenzhuo42,0,4,3,0,0,1.1091813798749215
chopin_syp,0,2,1,0,0,0.45818558146809907
chou-shun,1,2,0,0,0,0.4832510667324603
chu-jibiao,12,28,1,9,14,11.779023976923956
chujinjin,0,54,18,0,0,10.635718747190179
cjh9368,0,6,2,0,0,1.1817465274655736
ck00388204,1,0,0,0,0,0.2178757022030848
ckey_dou,0,6,2,0,2,1.64047158458374
cl_user,1,2,0,0,0,0.4832510667324603
clement_li,1,490,1,0,2,65.88637528595712
cloud-dingyong,1,2,0,0,0,0.4832510667324603
cmy_melody,0,2,1,0,0,0.45818558146809907
cononlly,1,0,0,0,1,0.4472382307621679
cooper44,18,14,4,9,12,11.348356232134831
cqu_yangxingyu,1,8,0,0,1,1.5087396888796702
cristoval,0,6,3,0,0,1.3745567444042972
cuihulan,1,0,0,0,0,0.2178757022030848
cuttlefish1002,1,0,0,0,0,0.2178757022030848
cyh_ustc,1,0,0,0,0,0.2178757022030848
cyx2020,1,2,0,0,0,0.4832510667324603
czr9775,1,0,0,0,0,0.2178757022030848
daheyinyin,1,4,0,0,0,0.7486264312618358
danansheng,0,6,0,0,0,0.7961260935881266
dandelight,1,4,0,0,0,0.7486264312618358
dandelion2077,0,8,0,0,0,1.0615014581175022
dash0225,0,6,10,0,0,2.724228262975361
david-he91,65,2,357,65,6,99.40887017844639
dayschan,9,16,4,5,2,6.450169511107936
dcomcomnj_admin,0,0,1,0,0,0.1928102169387235
detectiver,0,0,0,0,0,0.0
devilmaycry812839668,2,36,0,0,0,5.212507965934931
ding_fei_fei,0,0,2,0,2,0.8443454909956132
dinglinhe123,4,8,3,0,4,3.428885031982343
dohappy_708,1,4,0,0,0,0.7486264312618358
donghufeng,1,0,0,0,0,0.2178757022030848
dont-scald-your-head,1,0,0,0,0,0.2178757022030848
dphLaNoyee,1,0,0,0,0,0.2178757022030848
drjgitee,0,2,0,0,0,0.26537536452937555
du-minjie,0,0,0,0,0,0.0
dxtcoder,0,2,0,0,0,0.26537536452937555
eason-hw,1,2,0,0,0,0.4832510667324603
echo_hua,4,10,4,4,0,3.8786759793517924
echos319,0,0,0,0,0,0.0
ehaleva,0,0,0,0,0,0.0
erpim,0,0,0,0,0,0.0
ether1202,0,0,0,0,0,0.0
evocrow,0,0,1,0,0,0.1928102169387235
ezphlow,0,0,1,0,0,0.1928102169387235
fakeen,0,2,0,0,0,0.26537536452937555
fan-jibin,0,22,5,0,0,3.883180094516747
fan-weishun,1,0,0,0,0,0.2178757022030848
fanax,0,0,0,1,0,0.22726387003442075
fancyshun,1,0,0,0,0,0.2178757022030848
fangwenyi,0,460,79,94,79,115.75078451931888
fangzehua,0,0,2,0,0,0.385620433877447
fateld,0,14,0,0,0,1.8576275517056293
felixcplau,1,0,0,0,0,0.2178757022030848
feng_linfei,2,14,0,1,5,3.667455468941633
fenglovebei,1,2,0,0,0,0.4832510667324603
findexplore,0,0,0,0,0,0.0
fromvoid,1,4,0,0,0,0.7486264312618358
fuguidan,2,0,0,0,1,0.6651139329652527
ganqj,0,0,1,0,0,0.1928102169387235
gaocongli_hw,0,0,0,2,0,0.4545277400688415
gaojing22,1,0,0,0,1,0.4472382307621679
gaoxiong1,0,4,0,0,0,0.5307507290587511
gaoyong10,0,4,1,0,0,0.7235609459974746
gegu6585,0,0,0,0,0,0.0
gemini524,0,22,7,1,3,5.184151984105866
gengdongjie,2,18,7,3,0,4.8555928138448765
ginfung,0,18,3,0,1,3.1961714601396327
gismovie,0,0,9,0,0,1.7352919524485118
gongdaguo,2,2,1,0,4,1.8113871001106012
gongliyao,0,2,1,0,1,0.6875481100271821
gouyuyangyang,1,0,0,0,0,0.2178757022030848
greatpanc,5,18,2,0,5,5.010189868452668
gui-ningxin,0,4,0,0,0,0.5307507290587511
gui-shengnan,0,0,0,0,0,0.0
guikunchen,0,0,2,0,0,0.385620433877447
guoguoyaa,0,2,0,0,0,0.26537536452937555
guolinxuan,6,6,0,0,5,3.25019294960205
guoqi1024,3,16,0,1,3,3.6919814785559275
gxiang27,3,4,3,2,1,2.4466987551121
han_zhengrong,0,20,0,0,0,2.6537536452937553
hangangqiang,15,28,22,14,5,15.553722232386752
hanhuifeng2020,1,0,0,1,0,0.44513957223750555
harasuki,2,0,0,0,0,0.4357514044061696
harrywh,1,4,0,0,0,0.7486264312618358
harshvardhangupta,2,6,0,0,1,1.4612400265533796
hcc817,5,14,3,5,7,6.267293763622913
healing12,2,0,0,0,0,0.4357514044061696
helloway,1,0,0,1,0,0.44513957223750555
hetshah,1,0,0,0,0,0.2178757022030848
